v1,v2
ham,Hey are we still meeting today
spam,Congratulations you have won a free lottery ticket
ham,Please call me when you are free
spam,Win cash now click the link
ham,Can you send the assignment file
spam,Limited offer buy one get one free
ham,Let's have lunch tomorrow
spam,You are selected for a free vacation
ham,Meeting has been postponed to tomorrow
spam,Claim your reward immediately
ham,Please review the document I sent
spam,You won a cash prize reply now
ham,How was your exam yesterday
spam,Exclusive deal only for you
ham,Can we reschedule the class
spam,Free entry in contest win big
ham,Project submission deadline is tomorrow
spam,Click here to get free recharge
ham,Thank you for your help
spam,You have been chosen for a lucky draw
ham,Let's start working on the mini project
spam,Lowest price guaranteed buy now
ham,Please find the invoice attached
spam,Get rich quick scheme limited time
ham,Hope you are doing well
spam,Act fast your account will be blocked
ham,Can you explain this topic again
spam,You won a brand new smartphone
ham,Let's prepare for the presentation
spam,Free coupons available click now
ham,Send me the notes when possible
spam,Your loan has been approved instantly
ham,Good morning have a nice day
spam,Exclusive offer just for today
ham,Please update me on the progress
spam,You are eligible for a free gift
ham,Let's attend the workshop together
spam,Click the link to verify your account
ham,Thanks for the information
spam,Win big prizes participate now
ham,Are you coming to college today
spam,Free trial available sign up now
ham,We will discuss this in class
spam,Your mobile number won a prize
ham,Please share the meeting link
spam,Congratulations claim your bonus
ham,Let me know once you finish
spam,Earn money from home easily
ham,The results will be announced soon
spam,Special discount for valued customer
ham,Shall we start the lab now
spam,Final warning update your details
